gen,pop_size,cwmin,cwmax,slotlength,txPower,TotalLostPackets_media,delayMedio_media,throughputMedioBPS_media
50, 15, 0, 0, 0, 0, 20.186666666666667, 0.005769806748245716, 1857171719.182298
1, 20, 0, 0, 0, 0, 104.42285714285713, 0.006158565808842858, 1720953836.5363433
2, 20, 0, 0, 0, 0, 106.65714285714282, 0.006276363268874286, 1666020899.6393087
3, 20, 0, 0, 0, 0, 71.96857142857144, 0.006189700289341429, 1666072876.936163
4, 20, 0, 0, 0, 0, 107.82714285714283, 0.006666281047522857, 1738011105.2706628
5, 20, 0, 0, 0, 0, 160.76428571428568, 0.006121074871181428, 1897613004.4763114
6, 20, 0, 0, 0, 0, 176.5828571428571, 0.007631474587472856, 1748607749.5984318
7, 20, 0, 0, 0, 0, 187.81714285714284, 0.008828823752082857, 1972683352.0821996
8, 20, 0, 0, 0, 0, 163.55714285714288, 0.00826817831729286, 2350521314.3457193
9, 20, 0, 0, 0, 0, 213.99285714285708, 0.009396592097654286, 1807736439.4240468
10, 20, 0, 0, 0, 0, 204.86999999999995, 0.009529438513827143, 1802823197.9595745
11, 20, 0, 0, 0, 0, 202.6785714285714, 0.00955654647118143, 1672934826.8822854
12, 20, 0, 0, 0, 0, 199.66714285714284, 0.009033774262325715, 1710633827.0496278
13, 20, 0, 0, 0, 0, 155.17, 0.007825880388799998, 2138483161.5604758
14, 20, 0, 0, 0, 0, 186.39142857142855, 0.008576273080064282, 1651000269.3048387
15, 20, 0, 0, 0, 0, 200.89285714285714, 0.008610136163681429, 1748119317.823674
16, 20, 0, 0, 0, 0, 210.4714285714286, 0.007771231186568572, 1723827955.6973488
17, 20, 0, 0, 0, 0, 249.2071428571428, 0.008733758513334286, 1610398421.7523494
18, 20, 0, 0, 0, 0, 316.66999999999996, 0.009521900890998572, 1464726722.5058537
19, 20, 0, 0, 0, 0, 271.1785714285714, 0.008881042116205714, 1620055796.2990038
20, 20, 0, 0, 0, 0, 139.85428571428577, 0.007607097031260003, 2167765242.1021643
21, 20, 0, 0, 0, 0, 165.8457142857143, 0.008261259360887143, 2080281223.458823
22, 20, 0, 0, 0, 0, 174.3871428571429, 0.008589736786768571, 1918510761.3781524
23, 20, 0, 0, 0, 0, 255.85, 0.009535598821780001, 1402574451.8728573
24, 20, 0, 0, 0, 0, 313.4514285714285, 0.010659554429644289, 1189778964.0401955
25, 20, 0, 0, 0, 0, 264.53857142857134, 0.010340793353935715, 1552084704.2173471
26, 20, 0, 0, 0, 0, 202.30285714285716, 0.009370258651868572, 1870639975.6337433
27, 20, 0, 0, 0, 0, 177.09142857142857, 0.008851817405652855, 2238175775.9057784
28, 20, 0, 0, 0, 0, 117.05999999999999, 0.007556649214587143, 2791811740.490166
29, 20, 0, 0, 0, 0, 134.54714285714283, 0.00789744082264714, 2656891393.415984
30, 20, 0, 0, 0, 0, 136.85571428571424, 0.007731591353268568, 2443962195.3410387
31, 20, 0, 0, 0, 0, 113.6714285714286, 0.007803558285778572, 2137339587.7517688
32, 20, 0, 0, 0, 0, 135.28571428571428, 0.0076501433619057145, 2269885680.818597
33, 20, 0, 0, 0, 0, 146.34285714285716, 0.007969133669541426, 2114064370.2844074
34, 20, 0, 0, 0, 0, 138.63000000000002, 0.007731439917189999, 2270444714.9050164
35, 20, 0, 0, 0, 0, 199.2757142857143, 0.008839848365171429, 1839341035.6168065
36, 20, 0, 0, 0, 0, 293.6485714285714, 0.010189268072979998, 1595028579.748142
37, 20, 0, 0, 0, 0, 297.55999999999995, 0.01018518631000857, 1719225710.8296108
38, 20, 0, 0, 0, 0, 264.2828571428571, 0.010166824055729998, 1598643043.5549052
39, 20, 0, 0, 0, 0, 281.41428571428565, 0.010772537659964287, 1422237323.9484496
40, 20, 0, 0, 0, 0, 290.81571428571425, 0.010707569962674288, 1457684921.072764
41, 20, 0, 0, 0, 0, 328.37857142857143, 0.011435079348525713, 1372607966.0653186
42, 20, 0, 0, 0, 0, 264.49142857142857, 0.010250754699119999, 1602349864.9213064
43, 20, 0, 0, 0, 0, 215.03571428571428, 0.009932326374522859, 1713749535.2572393
44, 20, 0, 0, 0, 0, 233.4985714285714, 0.009447417695080002, 1874715893.8949542
45, 20, 0, 0, 0, 0, 204.52285714285716, 0.00940449521170143, 1779998473.4133427
46, 20, 0, 0, 0, 0, 192.7328571428572, 0.009341705309314286, 1871748322.747001
47, 20, 0, 0, 0, 0, 217.61000000000004, 0.009746052910725712, 1859365250.012153
48, 20, 0, 0, 0, 0, 194.85714285714283, 0.00940236965143714, 2050358765.0309894
49, 20, 0, 0, 0, 0, 191.0814285714286, 0.00875326132411571, 2223981824.6651707
50, 20, 0, 0, 0, 0, 142.71, 0.008437947236642858, 2327837523.1529913
1, 25, 0, 0, 0, 0, 140.90514285714286, 0.006362381264735999, 1813464384.5735362
2, 25, 0, 0, 0, 0, 182.98628571428577, 0.006446330217146286, 1734130319.0991015
3, 25, 0, 0, 0, 0, 223.77142857142854, 0.007538333836676574, 1631294988.1978586
4, 25, 0, 0, 0, 0, 168.72228571428568, 0.00808478992252343, 1569117198.6983576
5, 25, 0, 0, 0, 0, 106.07885714285715, 0.007790852096318857, 1660889858.3374457
6, 25, 0, 0, 0, 0, 121.832, 0.0077011548520240026, 1682962849.9492333
7, 25, 0, 0, 0, 0, 160.968, 0.008092368630648, 1623196845.188989
8, 25, 0, 0, 0, 0, 160.68114285714282, 0.007794542196217144, 1568973062.3778138
9, 25, 0, 0, 0, 0, 189.91314285714282, 0.006950180836849145, 1596728461.0993643
10, 25, 0, 0, 0, 0, 143.59199999999996, 0.006887037008000001, 1622409419.6248496
11, 25, 0, 0, 0, 0, 160.8468571428571, 0.007610741488964573, 1522631679.2603061
12, 25, 0, 0, 0, 0, 128.1805714285714, 0.007226430223724572, 1552519458.3720431
13, 25, 0, 0, 0, 0, 125.66285714285713, 0.007009437888005716, 1580043444.2173524
14, 25, 0, 0, 0, 0, 127.04571428571424, 0.005716395049177143, 1716975973.738305
